"
Number",Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,Retun check,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
69,Chanel,C262643,,シャネル イヤリング,Clip-on earrings with pearl details,B,B,Box,"¥10,361","¥9,419","¥11,774","¥13,000",,2240005518133,TRUE,"¥8,000",,990,7810,-2550.8,"-10,251",FALSE,C262643,,C142838￥64.8 Boxのみと一緒に販売
70,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,FALSE,,,
71,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
72,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
73,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
74,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
75,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
76,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
77,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
78,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
79,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
80,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
81,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
82,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
83,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
84,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
85,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
86,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
87,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
88,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
89,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
90,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
91,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
92,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
93,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
94,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
95,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
96,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
97,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
98,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
99,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
100,,,,,,,,,,¥0,¥0,,,,FALSE,,,990,-990,-990,,FALSE,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
