Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
17,Louis Vuitton,C205299,,"Agenda Cover, Epi",,,,10134.0,,,12000,,,1000.0,1000.0,3000.0,990.0,2310.0000000000005,-7384.0,True,,,peeling
18,Yves Saint Laurent,C210154,,"Compact wallet, Leather",,,,12789.5,,,15000,,,4000.0,1000.0,2000.0,990.0,1210.0,,False,,,
19,Louis Vuitton,C237753,,"Wallet, Plastic",,,,29380.0,,,35000,,,,1000.0,,990.0,110.0,-9580.0,True,,,interior darkening
20,Louis Vuitton,C210193,,"Strap, Leather",,,,6102.04,,,10000,,,1000.0,,3000.0,990.0,2310.0000000000005,-3352.04,True,,,cracks
21,Celine,C164042,,Shoulder Bag,,,dustbag ,145530.0,,,138000,,,,,71000.0,2640.0,75460.0,,False,,,interior sticky B-
22,Chanel,C166163,,"Earrings, Faux pearl, Gold plated metal",,,box,72600.0,,,75000,,,,37000.0,37000.0,1540.0,39160.0,,False,,,peeling
23,Chanel,C210847,,Accessory,,,box,54384.0,,,55000,,,38000.0,36000.0,36000.0,1540.0,38060.0,-15884.0,True,,,peeling
24,Chanel,C226229,,"Bangle, Plastic",,,,22000.0,,,25000,,,,8000.0,8000.0,990.0,7810.0,,False,,,grey item
25,Chanel,C161070,,"Necklace, Rhinestone, Metal",,,,54912.0,,,60000,,,,,26000.0,1540.0,27060.000000000004,,False,,,peeling
26,Louis Vuitton,C253375,,"Crossbody Bag, Plastic",,,,44000.0,,,50000,,,,,17000.0,1540.0,17160.0,,False,,,
27,Louis Vuitton,C233390,,"Clutch Bag, Plastic",,,dustbag,26059.0,,,30000,,,,11000.0,14000.0,1540.0,13860.000000000002,-11759.0,True,,,discoloration
28,Louis Vuitton,C237344,,"Shoulder Bag, Plastic",,,,62370.0,,,65000,,,55000.0,,,2640.0,57860.00000000001,-4510.0,True,,,peeling
